id,pays,code_insee,commune,departement,region,org_lon,org_lat,org_precision,org_methode,org_adresse,org_source,ctrl_lieu,ctrl_lon,ctrl_lat,ctrl_precision,drapeaux
2015-25097177-1,FR,92062,Puteaux,92,11,2.2384,48.8824,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.2384,48.8824,commune,lieu_controle_inconnu
2015-885ad2c1-1,FR,78158,Le Chesnay-Rocquencourt,78,11,2.1188,48.8285,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,2.1188,48.8285,commune,lieu_controle_inconnu
2015-622c9543-1,FR,45252,Pithiviers,45,24,2.2501,48.1805,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2501,48.1805,commune,lieu_controle_inconnu
2015-930bd4d4-1,FR,92026,Courbevoie,92,11,2.2574,48.8976,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.2574,48.8976,commune,lieu_controle_inconnu
2015-fc249806-1,FR,76217,Dieppe,76,28,1.0838,49.9199,commune,alias,,geo.api.gouv.fr 2026-09-11,organisme,1.0838,49.9199,commune,lieu_controle_inconnu
2015-0a76f93b-1,FR,76217,Dieppe,76,28,1.0838,49.9199,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,1.0838,49.9199,commune,lieu_controle_inconnu
2015-662f0e6d-1,FR,31069,Blagnac,31,76,1.3770,43.6410,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,1.3770,43.6410,commune,lieu_controle_inconnu
2015-c750a9ed-1,FR,35238,Rennes,35,53,-1.6884,48.1159,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-1.6884,48.1159,commune,lieu_controle_inconnu
2015-277a15f2-1,FR,13001,Aix-en-Provence,13,93,5.3879,43.5360,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,5.3879,43.5360,commune,lieu_controle_inconnu
2015-41501523-1,FR,34172,Montpellier,34,76,3.8742,43.6100,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.8742,43.6100,commune,lieu_controle_inconnu
2015-49c536ba-1,FR,37261,Tours,37,24,0.6949,47.3943,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,0.6949,47.3943,commune,lieu_controle_inconnu
2015-9e86f839-1,FR,34172,Montpellier,34,76,3.8742,43.6100,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.8742,43.6100,commune,lieu_controle_inconnu
2015-b90ae37c-1,FR,28085,Chartres,28,24,1.5046,48.4481,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,1.5046,48.4481,commune,lieu_controle_inconnu
2015-bbe4d954-1,FR,28085,Chartres,28,24,1.5046,48.4481,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,1.5046,48.4481,commune,lieu_controle_inconnu
2015-5f41850e-1,FR,91223,Étampes,91,11,2.1524,48.4227,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.1524,48.4227,commune,lieu_controle_inconnu
2015-bfbd105e-1,FR,78643,Vernouillet,78,11,1.9748,48.9649,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,1.9748,48.9649,commune,lieu_controle_inconnu
2015-f160a96a-1,FR,14137,Carpiquet,14,28,-0.4452,49.1872,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.4452,49.1872,commune,lieu_controle_inconnu
2015-bdbc614f-1,FR,35238,Rennes,35,53,-1.6884,48.1159,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-1.6884,48.1159,commune,lieu_controle_inconnu
2015-32ab5136-1,FR,35238,Rennes,35,53,-1.6884,48.1159,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-1.6884,48.1159,commune,lieu_controle_inconnu
2015-a873409a-1,FR,14118,Caen,14,28,-0.3722,49.1846,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.3722,49.1846,commune,lieu_controle_inconnu
2015-01109b10-1,FR,14118,Caen,14,28,-0.3722,49.1846,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.3722,49.1846,commune,lieu_controle_inconnu
2015-58b8d4b3-1,FR,33214,Lacanau,33,75,-1.0960,44.9879,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-1.0960,44.9879,commune,lieu_controle_inconnu
2015-c77aa804-1,FR,56121,Lorient,56,53,-3.3799,47.7494,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-3.3799,47.7494,commune,lieu_controle_inconnu
2015-be1dd82f-1,FR,56260,Vannes,56,53,-2.7485,47.6577,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-2.7485,47.6577,commune,lieu_controle_inconnu
2015-12b4e036-1,FR,34108,Frontignan,34,76,3.7493,43.4486,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.7493,43.4486,commune,lieu_controle_inconnu
2015-a4c34c9f-1,FR,51454,Reims,51,44,4.0551,49.2535,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,4.0551,49.2535,commune,lieu_controle_inconnu
2015-76be81a5-1,FR,34157,Mèze,34,76,3.5843,43.4323,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.5843,43.4323,commune,lieu_controle_inconnu
2015-4d2e011b-1,FR,34003,Agde,34,76,3.4838,43.3084,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.4838,43.3084,commune,lieu_controle_inconnu
2015-b80120a2-1,FR,34150,Marseillan,34,76,3.5560,43.3543,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.5560,43.3543,commune,lieu_controle_inconnu
2015-fa5b8eef-1,FR,34003,Agde,34,76,3.4838,43.3084,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,3.4838,43.3084,commune,lieu_controle_inconnu
2015-e61ca9f7-1,FR,51454,Reims,51,44,4.0551,49.2535,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,4.0551,49.2535,commune,lieu_controle_inconnu
2015-2cc9ff85-1,FR,75056,Paris,75,11,2.3470,48.8589,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,2.3470,48.8589,commune,lieu_controle_inconnu
2015-1e01e2c9-1,FR,33032,Bassens,33,75,-0.5260,44.9068,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.5260,44.9068,commune,lieu_controle_inconnu
2015-d7d48f28-1,FR,33243,Libourne,33,75,-0.2328,44.9125,commune,referentiel_communes,,geo.api.gouv.fr 2026-09-11,organisme,-0.2328,44.9125,commune,lieu_controle_inconnu
